"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202411","2호선","왕십리(성동구청)","691","2","6494","893","9818","8434","25990","13110","46914","27951","29681","21303","20697","16737","20874","17993","24195","19408","24421","21578","24861","21309","27925","23810","34027","28684","37477","40048","36587","61047","25676","36485","23984","23869","27492","21635","26072","19916","15064","13148","3052","5392","5","109","0","0","0","0","20241203"
"202411","2호선","용답","15","0","2443","330","3471","1313","8666","2010","14126","3811","8195","5044","5757","3519","4907","2779","5270","3527","5203","4306","4743","4107","4652","5035","6608","6345","6483","7895","4601","11497","2716","8188","2052","5663","1620","6775","1180","6073","612","3804","151","1193","2","3","0","0","0","0","20241203"
"202411","2호선","용두(동대문구청)","40","1","1197","96","1747","1032","5804","2593","9708","5615","5516","3985","4611","4299","4163","3935","4661","3932","4810","4810","5185","4441","5383","5116","5504","5220","5633","6292","5517","9041","2708","5801","1819","3647","1697","3427","882","2505","335","1568","55","484","0","7","0","0","0","0","20241203"
"202411","2호선","을지로3가","28","2","1324","2701","2652","22653","7180","71107","14050","170138","19756","77372","23393","35846","25483","30473","26460","29137","30598","31801","35694","27878","40885","28533","53970","33379","100096","39701","140814","46224","59866","28512","45407","17204","48149","14639","40403","12241","21863","7812","3773","1993","11","82","0","0","0","0","20241203"
"202411","2호선","을지로4가","15","0","1031","1127","2491","13934","5722","35856","12530","77506","14548","41052","17216","26661","20007","25226","20603","22675","22761","22407","25873","21468","29701","20275","35885","19464","64197","20218","67336","20558","29443","14386","18671","10217","15984","9350","10597","9365","5322","6122","989","1677","2","51","0","0","0","0","20241203"
"202411","2호선","을지로입구","68","3","2561","2771","4950","31380","11025","127900","18982","343830","29541","177209","35360","93141","44792","77045","49741","68341","61411","71621","72707","63153","88259","64224","107107","70377","188708","82626","286609","83058","143199","50089","138884","34207","94748","27049","75785","21141","31235","11899","4104","4374","5","941","0","0","0","0","20241203"
"202411","2호선","이대","35","0","3812","889","9853","7034","29663","16766","41404","48754","26147","60155","21944","42008","23670","30395","33003","33297","32030","36456","30302","28779","38721","30021","41415","33093","53799","40981","48800","52975","27706","37113","23978","25987","25917","25623","19079","25385","7214","17251","1061","4830","1","111","0","0","0","0","20241203"
"202411","2호선","잠실(송파구청)","84","6","13856","5043","50697","37760","122417","84747","170491","183494","128889","182297","89053","131216","88433","128673","100560","123662","109377","127164","121001","129124","142059","146581","167914","166735","204652","202778","247398","252231","178027","163348","181307","106468","167793","93232","109364","83017","33203","46027","5246","10854","11","159","0","0","0","0","20241203"
"202411","2호선","잠실나루","2","0","3698","3480","13902","20239","39138","23988","50767","39171","34914","26493","27014","19909","26473","17317","24473","21038","23007","22324","23844","21165","27760","21639","36343","24379","42404","30786","30956","42776","14968","30454","11069","19880","8013","18612","5794","16641","2762","9583","445","3181","3","55","0","0","0","0","20241203"
"202411","2호선","잠실새내","50","7","6339","1069","19105","9124","63087","17820","91075","30998","60432","31861","39433","26342","36983","27728","38970","31103","36471","36148","33509","38442","37308","44906","39811","51394","43234","68777","43686","92213","31773","63593","27898","39655","26602","34652","25878","31004","13184","17071","2291","5505","7","141","0","0","0","0","20241203"
"202411","2호선","종합운동장","12","1","1453","836","6345","12499","17525","20354","23854","30334","18014","14393","12983","13155","12590","10840","15973","13512","13588","16918","14448","19239","16729","16935","19763","15156","21484","21284","24700","27477","18313","17775","7983","11933","11885","11201","4175","10166","1941","5647","311","1847","4","116","0","0","0","0","20241203"
"202411","2호선","충정로(경기대입구)","30","1","3582","992","6606","6460","16299","25093","23299","62613","16463","30608","12486","14137","13039","12037","13951","12893","14407","15218","14717","13246","15775","13905","19989","15504","35178","19273","48237","23315","16648","16376","11354","11324","10177","11261","7064","9889","3169","6326","743","2106","1","81","0","0","0","0","20241203"
"202411","2호선","한양대","9","0","1101","546","2729","6061","5565","13539","9972","71246","7328","55734","9668","53042","21973","22016","20777","42743","18671","27998","26120","24474","39785","20522","45821","14881","54675","16404","46417","21637","21168","10834","18880","7063","19812","6420","12172","6362","6816","4400","1606","1721","2","36","0","0","0","0","20241203"
"202411","2호선","합정","122","13","10124","2857","18182","13902","42426","32930","55581","94271","38302","90096","29920","55545","32316","51074","37735","54791","41767","61917","44154","56256","48561","58035","59365","70612","81305","90842","117577","122239","78984","81872","66383","45516","73766","37107","71322","33033","37568","23281","6524","8645","13","208","0","0","0","0","20241203"
"202411","2호선","홍대입구","980","32","27143","3508","31508","18667","63123","42947","82431","113713","68569","148681","61979","119646","68793","135099","81228","154527","94804","171254","106240","163457","129304","165626","161409","184150","190217","215048","211917","258831","174255","185406","173623","112007","202050","88675","195615","73787","99565","51067","13246","19943","14","2083","0","1","0","0","20241203"
"202411","3호선","가락시장","63","14","3168","694","7525","5741","22309","11960","24258","27409","18687","15620","16359","11349","15096","12052","15269","13270","15069","13850","15490","14375","16652","16665","17748","18837","22486","23069","28878","29470","12620","20077","10268","12899","9255","11245","6939","9988","2868","5438","499","1698","2","63","0","0","0","0","20241203"
"202411","3호선","경복궁(정부서울청사)","16","3","2317","1614","6297","15336","14235","42967","21873","139861","22382","106903","22027","79775","31626","73550","39832","66871","49612","68236","62457","58609","78847","54593","100366","49457","119970","43303","131558","39208","57976","24277","45907","13827","41318","11666","27406","9883","9941","5501","1213","1571","2","28","0","0","0","0","20241203"
"202411","3호선","경찰병원","9","2","3348","309","8317","3436","24512","9784","27416","28527","16687","15563","12431","9047","11337","7098","10741","8322","10445","9893","10610","9034","11115","10372","11030","11241","16816","16569","20124","23561","7397","17939","5831","11063","4927","9591","3431","8991","1118","5351","145","1645","0","2","0","0","0","0","20241203"
"202411","3호선","고속터미널","195","2","5865","4052","8041","36837","26859","50530","48611","80458","59853","102521","61135","106175","74374","111788","89556","106781","98186","106055","113529","111588","128772","118300","137975","118052","149355","124942","144516","125910","126477","78469","137945","50816","82588","41043","51772","27018","18622","13189","1899","2448","0","6","0","0","0","0","20241203"
"202411","3호선","교대(법원.검찰청)","71","0","1908","642","4810","8119","11638","18353","16368","48874","14568","40607","15678","19288","20201","13671","22699","13268","28503","13816","32239","12090","34909","11871","37254","13130","56177","18947","70664","22464","35722","11894","32519","6784","30685","5631","22958","5166","8874","2980","1376","907","0","4","0","0","0","0","20241203"
"202411","3호선","구파발","223","11","13410","1651","35379","11115","87719","22750","85642","32238","50826","30327","35473","30052","33513","27545","34621","27836","33167","30869","34239","31956","39096","33192","45862","42310","44189","52201","34016","79821","21079","65329","17049","37377","15022","33482","11880","29600","3142","19579","608","8440","0","291","0","0","0","0","20241203"
"202411","3호선","금호","79","6","4421","653","10366","2579","27801","4872","39758","9521","24300","7848","15842","7007","13622","7366","13451","8851","12267","10495","11139","11774","10670","14848","11619","17296","12410","23040","11725","31278","8523","22600","6093","15240","4596","13408","3605","12201","1948","6399","353","1852","0","0","0","0","0","0","20241203"
"202411","3호선","남부터미널(예술의전당)","27","3","3191","1382","9642","31220","28585","66505","47142","160761","40729","93227","37220","56404","41887","40795","43618","43235","46576","49345","50029","49746","55102","49635","71547","52106","114964","60936","139617","66314","65857","43588","47733","26459","41050","20041","29074","16459","10219","9739","984","2743","0","4","0","0","0","0","20241203"
"202411","3호선","녹번","57","2","10391","544","26074","3502","72471","8136","80432","17616","46015","11828","29580","9821","25261","10981","24864","13199","22766","15280","19111","17600","18306","22742","19192","29446","19279","42722","19705","63931","10230","52508","7623","32132","6140","28524","4451","25399","1664","14493","246","4143","0","6","0","0","0","0","20241203"
"202411","3호선","대청","82","1","4045","1061","12612","6854","32852","19203","41574","28211","24538","14502","18227","9497","16034","9182","15872","10628","16017","12367","14776","13271","18760","16338","22106","18119","26549","24454","28423","32925","12021","26112","8586","17938","6730","16577","5251","16746","1864","8502","364","2944","0","33","0","0","0","0","20241203"
"202411","3호선","대치","54","2","3103","620","13481","8081","31727","14042","32492","29957","20372","21268","16419","15364","15165","14016","17341","18806","18666","23017","17228","19912","18706","24745","23162","29779","32679","36503","30649","36691","20063","25303","14917","15200","17128","14003","28657","11881","3281","6623","368","2180","0","26","0","0","0","0","20241203"
"202411","3호선","도곡","69","4","1218","346","4565","4720","12848","15200","16373","22983","10865","18313","8846","8968","8370","8315","8790","7920","8529","8475","9425","8401","11524","9415","14155","9935","19518","11912","18724","13884","9839","11023","7243","6835","6336","6352","4617","5425","1300","3103","234","1794","1","259","0","0","0","0","20241203"
"202411","3호선","독립문","216","5","5036","889","6732","6170","16238","16095","19804","24541","16767","22236","14994","19598","15572","14320","17233","14457","16030","15206","16870","14197","20059","14250","19795","15095","19768","15999","17366","17697","8727","14740","6260","9887","5237","8632","3578","7546","1323","4324","181","2003","4","564","0","0","0","0","20241203"
"202411","3호선","동대입구","16","0","1769","1094","3000","9207","5263","16458","8715","65199","8813","44333","10868","45376","14846","34917","14062","27621","21698","31215","25728","23280","28944","21158","32900","21858","46466","26875","51184","27348","24210","11806","30945","6607","30161","6339","18091","4750","4596","3015","579","1071","0","61","0","0","0","0","20241203"
"202411","3호선","매봉","20","0","1900","721","7082","9984","19987","25476","24320","76786","17678","35264","16060","17715","15656","16441","15829","14411","17160","14294","19083","13727","21493","15064","25397","16948","41830","21610","61253","26227","21207","17397","15614","10590","16540","9554","10330","8546","3296","4701","481","1418","0","64","0","0","0","0","20241203"
"202411","3호선","무악재","3","1","2180","171","5698","1414","17438","3052","21074","5782","12916","4214","8801","4081","7729","4083","7320","4720","6807","5259","6194","6234","5926","7922","6597","9968","7074","12349","7099","17281","3523","14560","2465","8890","1961","8143","1387","7074","616","4641","108","1231","0","1","0","0","0","0","20241203"
"202411","3호선","불광","18","3","10197","1576","19643","6948","54766","11945","65231","33787","40423","30155","28831","25623","26705","25694","27771","27453","28491","30095","28492","30019","30348","33693","32202","38082","31471","46024","31540","62398","17530","48452","14305","30336","11368","26758","7946","23479","3411","13471","570","4530","0","11","0","0","0","0","20241203"
"202411","3호선","수서","140","7","5100","2499","13383","17299","41314","38099","49506","59321","35892","39450","40161","26979","30383","23835","38405","28800","33820","25677","26076","26105","37797","31754","42208","35519","52226","42625","57230","57529","25879","42603","25156","28900","16925","25248","16157","22884","8009","9411","705","3469","2","380","0","0","0","0","20241203"
"202411","3호선","신사","67","7","3451","1675","6381","17563","12152","41956","18619","102857","17409","138411","20374","69876","26132","49091","30331","44722","36154","47548","43417","44631","51615","41118","62126","46006","91499","57262","123585","68418","85417","36492","60006","18874","60465","14619","48355","11945","21848","7934","3225","3372","0","27","0","0","0","0","20241203"
"202411","3호선","안국","43","2","1855","2196","3179","27321","6004","97183","10986","131461","16666","103036","20101","81486","29487","82469","41031","70111","46960","68163","60485","62735","79807","50269","110289","44457","146585","38628","137902","31355","64386","14953","49938","8160","41760","6836","22326","5870","6718","3225","782","989","0","4","0","0","0","0","20241203"
"202411","3호선","압구정","66","2","2946","2497","8332","24660","16362","49611","25945","138993","22743","150037","27455","83005","33198","66952","40230","53768","45055","56326","56063","52318","64675","50076","77577","51112","103663","62548","134307","63608","90364","36035","73248","17849","57281","14645","40534","11966","11617","6487","1760","2353","0","202","0","0","0","0","20241203"
